sample_id,image,damage_id,damage_class,damage_confidence,damage_bbox_xyxy,predicted_part_id,predicted_part_class,overlap_score,alternatives,reference_part_class,reviewer,notes
m028,001617.jpg,d1,lamp_broken,0.9285,0.0 205.8 538.5 416.7,p3,front_bumper,1.0,hood:0.1055; hood:0.0609,,,
m029,002294.jpg,d1,scratch,0.8259,420.1 415.3 527.5 575.5,p3,back_door,0.578,,,,
m030,001024.jpg,d1,tire_flat,0.9514,385.9 14.9 798.5 569.8,p1,wheel,0.9255,back_bumper:0.5026,,,
m031,002252.jpg,d1,crack,0.7577,635.9 390.4 683.4 527.4,p3,back_bumper,1.0,,,,
m032,002385.jpg,d2,dent,0.9184,428.5 34.0 722.0 247.9,p9,front_glass,0.188,front_bumper:0.0069,,,
m033,003268.jpg,d1,glass_shatter,0.943,405.0 98.7 646.2 334.6,p4,back_door,1.0,front_door:0.5596; front_glass:0.3295; hood:0.0292,,,
m034,000191.jpg,d1,lamp_broken,0.8591,109.2 384.5 440.4 562.5,p4,front_light,0.8849,front_bumper:0.7718; hood:0.198; front_door:0.0552,,,
m035,001926.jpg,d1,scratch,0.8951,524.2 248.5 1000.0 527.3,,none,0.0,,,,
m036,000237.jpg,d4,tire_flat,0.5475,246.1 332.4 600.0 639.6,p1,wheel,0.9743,front_bumper:0.0722,,,
m037,002294.jpg,d3,crack,0.6946,720.9 280.4 870.2 363.0,p3,back_door,1.0,,,,
m038,003992.jpg,d1,dent,0.9292,256.0 142.0 672.1 569.5,p1,wheel,0.2603,back_door:0.0343,,,
m039,002664.jpg,d1,glass_shatter,0.9083,44.8 88.3 1000.0 582.4,p1,front_glass,0.9867,front_bumper:0.0643,,,
m040,002986.jpg,d1,lamp_broken,0.9334,503.0 4.0 713.7 193.8,p1,back_light,1.0,back_light:0.9845; back_bumper:0.1176; truck_bed:0.0192,,,
m041,002991.jpg,d2,scratch,0.894,440.2 385.1 702.6 658.6,p2,back_bumper,1.0,back_bumper:0.0002,,,
m042,001236.jpg,d1,tire_flat,0.9092,381.4 318.8 588.4 646.6,p1,wheel,0.9814,back_bumper:0.3301; back_door:0.0022,,,
m043,000191.jpg,d3,crack,0.5524,231.5 532.9 270.4 696.5,p2,front_bumper,1.0,front_light:0.1363,,,
m044,001562.jpg,d1,dent,0.8276,661.3 140.5 989.3 576.0,p2,back_bumper,1.0,wheel:0.2379; wheel:0.1488; wheel:0.1099,,,
m045,003959.jpg,d1,glass_shatter,0.9014,20.4 0.2 1000.0 750.0,p1,hood,0.1234,wheel:0.0948; hood:0.0077,,,
m046,002151.jpg,d1,lamp_broken,0.9241,140.6 286.0 354.2 624.2,p3,back_light,0.8911,back_bumper:0.3438; back_glass:0.1165; trunk_or_tailgate:0.0797,,,
m047,000400.jpg,d1,scratch,0.9096,155.1 415.3 440.8 606.1,p4,back_bumper,1.0,trunk_or_tailgate:0.028,,,
m048,000659.jpg,d1,tire_flat,0.9734,382.6 165.2 809.0 568.9,p1,wheel,0.9481,front_bumper:0.4352; back_door:0.2513,,,
m049,000550.jpg,d2,crack,0.8624,145.6 533.4 295.8 662.6,p1,wheel,0.3279,,,,
m050,001967.jpg,d3,dent,0.6279,483.8 257.1 746.7 467.2,p2,front_bumper,1.0,back_door:1.0; back_door:0.0843,,,
m051,000224.jpg,d1,glass_shatter,0.8686,163.0 149.4 998.1 653.3,p1,front_glass,0.5526,hood:0.5286,,,
m052,003789.jpg,d1,lamp_broken,0.9707,316.7 71.4 788.4 667.0,p1,back_bumper,0.96,trunk_or_tailgate:0.6284,,,
m053,001879.jpg,d1,scratch,0.792,487.4 58.0 1000.0 320.1,p1,back_door,1.0,wheel:0.0455,,,
m054,000969.jpg,d1,tire_flat,0.9637,168.4 78.1 844.6 665.1,p1,wheel,0.9621,,,,
m055,001039.jpg,d4,crack,0.3331,422.4 471.5 473.0 513.1,p2,front_bumper,1.0,back_door:0.3166,,,
m056,000883.jpg,d1,dent,0.8962,79.2 81.2 795.3 519.8,p2,back_door,0.3324,back_bumper:0.2017; back_light:0.0561; wheel:0.0401,,,
m057,001118.jpg,d1,glass_shatter,0.9142,142.3 0.0 1000.0 668.0,p2,front_glass,0.8017,front_glass:0.222; hood:0.2207; front_bumper:0.1939,,,
m058,002931.jpg,d1,lamp_broken,0.7331,488.2 7.6 994.1 131.2,p2,front_bumper,0.0247,,,,
m059,002825.jpg,d2,scratch,0.555,93.6 26.5 335.5 533.1,p3,back_door,1.0,back_door:0.6054; wheel:0.2854,,,
m060,000749.jpg,d1,tire_flat,0.9307,153.9 4.7 521.9 640.1,p1,wheel,0.9559,front_bumper:0.1304; back_bumper:0.1291,,,
